EquivalentDiameters	AvgEulerAngles_0	AvgEulerAngles_1	AvgEulerAngles_2
15.59451	5.5709848	0.60226542	0.011486002
8.136858	4.235549	0.7916854	2.0671535
9.5746145	2.6146119	1.4161388	3.7118819
8.3682842	0.9125796	0.42304444	5.0538082
9.0972834	5.8643141	0.41958117	0.90395004
10.09253	4.2805066	0.83227003	2.2109096
9.2361813	1.4482396	0.27982289	4.5827403
8.5934801	2.1122587	1.1652731	4.4814405
10.09253	3.5921223	0.81119555	2.0785048
8.2147245	0.21821111	1.5777105	6.0935693
9.4406977	5.6055913	0.5580768	0.13683917
11.994835	3.5268846	0.52029496	3.3848965
12.716187	5.8845887	0.80624098	0.91122866
8.058239	0.13209265	1.5322207	0.14620228
11.340071	5.1224704	0.7829898	1.2582818
13.398761	5.4562335	0.21052669	1.0971903
17.371178	3.9305103	0.54249823	3.0037398
8.5934801	6.1427221	0.47255728	6.268085
12.716187	5.6024709	0.25409868	1.0293794
19.576647	2.4320362	0.78052974	3.9239211
9.8369818	1.6904491	1.0996025	4.9621816
11.113246	1.9530689	1.1928316	4.0211816
15.222668	3.9521434	0.83706605	2.2329228
8.058239	1.4457092	0.263262	5.0036211
8.058239	2.1906724	0.92015696	3.9792926
12.360774	5.5256419	0.29933992	0.40307102
8.9562321	0.14862514	0.40818802	5.5141778
7.9788456	1.1306318	0.45813289	5.6239772
12.153015	1.6908416	0.62000877	4.056457
8.740387	2.7156096	0.67469132	4.1625109
10.585135	4.363534	0.22446981	2.3075526
8.2147245	5.2350349	0.85278666	1.0035586
9.4406977	1.2147273	0.39849013	5.7283869
9.9655752	3.3502953	0.76766616	2.465816
13.587484	4.4651208	0.55305743	2.0235302
8.136858	5.234302	0.49100503	1.0025551
9.5078917	3.4628088	0.45754182	2.6665006
24.87558	4.4326978	0.40609705	2.066802
9.9655752	3.2997804	1.128139	3.4067154
10.155413	0.25869283	0.75307405	6.0407815
13.207339	5.2108145	1.1072642	1.1722718
16.155931	1.9089783	0.73844576	3.9442258
10.52482	1.0375884	0.38831165	4.6224198
9.0270329	5.7208619	1.3145753	0.097634099
12.047792	5.8987732	0.53034472	0.21947321
45.959812	5.568718	1.45508	0.60864711
8.6672449	4.2173924	0.27267337	1.8927257
29.747293	0.7873916	0.45295504	6.107511
15.222668	6.0462346	0.67478782	0.412624
11.396071	3.7113616	1.2356468	2.1039579
10.217908	2.0773363	0.60490519	4.720417
17.983404	3.5137405	0.6539169	3.2296975
15.012109	2.341599	0.40644076	4.3142738
9.5078917	5.3995581	0.8969717	0.40150276
13.68087	5.7622204	0.60773212	0.43913272
8.8129225	2.2796521	0.46702358	4.1113219
9.3730211	4.2145729	0.39150697	1.5444726
7.9788456	4.0050402	0.89550352	2.5908675
12.615663	4.1152029	0.97079533	1.6605849
8.4440165	0.1740489	0.74937135	6.1098585
17.371178	4.8738942	1.4942647	1.0425164
8.5190754	5.2182741	0.68987453	0.97822005
16.429449	3.8393812	0.88004655	1.9188393
11.055813	3.1288416	0.67072839	3.9190283
15.180789	1.3912765	0.43548813	5.4852343
14.712265	3.7158887	0.92816871	2.1288924
11.340071	1.658674	0.51118606	4.1350102
17.480774	5.0973873	0.51462382	1.5803566
10.464158	0.86525983	0.91361487	5.9376001
19.99493	5.5843945	0.67337132	1.0435755
12.815924	1.5545034	0.20756181	4.0536852
9.6408758	2.212168	1.1832988	4.3336091
11.170383	5.4815502	0.48822212	1.0176927
10.217908	2.4528515	0.60893285	4.1323276
14.40618	5.8310981	0.59963781	6.1349335
10.029253	5.8191795	0.59442949	0.38681826
